Event: solarUpdate at time 0 with data 0.0
Event: carBeginsCharging at time 10320 with data Car ID: 21, chargingVolume: 7, connectionTime: 49900 parkingPlace: 5, amountCharged: 0, carParksVisited: ['5'], arrivalTime: 10320
Event: solarUpdate at time 10800 with data 0.288973549627928
Car 4, succesfully charged
Event: carPlannedLeave at time 11645 with data Car ID: 4, chargingVolume: 12, connectionTime: 10286 parkingPlace: 5, amountCharged: 12.0, carParksVisited: ['5'], arrivalTime: 1359
Event: carLeaves at time 11645 with data Car ID: 4, chargingVolume: 12, connectionTime: 10286 parkingPlace: 5, amountCharged: 12.0, carParksVisited: ['5'], arrivalTime: 1359
Event: carArrives at time 13131 with data Car ID: 22, chargingVolume: 32, connectionTime: 45261 parkingPlace: 5, amountCharged: 0, carParksVisited: ['5'], arrivalTime: 13131
Event: carBeginsCharging at time 13131 with data Car ID: 22, chargingVolume: 32, connectionTime: 45261 parkingPlace: 5, amountCharged: 0, carParksVisited: ['5'], arrivalTime: 13131
Event: carExpectedStopCharging at time 13969.0 with data Car ID: 17, chargingVolume: 11, connectionTime: 58105 parkingPlace: 6, amountCharged: 0, carParksVisited: ['6'], arrivalTime: 7369
Event: carStopsCharging at time 13969.0 with data Car ID: 17, chargingVolume: 11, connectionTime: 58105 parkingPlace: 6, amountCharged: 11.0, carParksVisited: ['6'], arrivalTime: 7369
Event: carExpectedStopCharging at time 14373.0 with data Car ID: 14, chargingVolume: 14, connectionTime: 50123 parkingPlace: 4, amountCharged: 0, carParksVisited: ['4'], arrivalTime: 5973
Event: carStopsCharging at time 14373.0 with data Car ID: 14, chargingVolume: 14, connectionTime: 50123 parkingPlace: 4, amountCharged: 14.000000000000002, carParksVisited: ['4'], arrivalTime: 5973
Event: solarUpdate at time 14400 with data 3.086840388202745
Event: carExpectedStopCharging at time 14520.0 with data Car ID: 21, chargingVolume: 7, connectionTime: 49900 parkingPlace: 5, amountCharged: 0, carParksVisited: ['5'], arrivalTime: 10320
Event: carStopsCharging at time 14520.0 with data Car ID: 21, chargingVolume: 7, connectionTime: 49900 parkingPlace: 5, amountCharged: 7.000000000000001, carParksVisited: ['5'], arrivalTime: 10320
Event: carExpectedStopCharging at time 14788.0 with data Car ID: 13, chargingVolume: 15, connectionTime: 41233 parkingPlace: 7, amountCharged: 0, carParksVisited: ['7'], arrivalTime: 5788
Event: carStopsCharging at time 14788.0 with data Car ID: 13, chargingVolume: 15, connectionTime: 41233 parkingPlace: 7, amountCharged: 15.000000000000002, carParksVisited: ['7'], arrivalTime: 5788
Event: carExpectedStopCharging at time 14939.999999999998 with data Car ID: 2, chargingVolume: 24, connectionTime: 43764 parkingPlace: 2, amountCharged: 0, carParksVisited: ['2'], arrivalTime: 540
Event: carStopsCharging at time 14939.999999999998 with data Car ID: 2, chargingVolume: 24, connectionTime: 43764 parkingPlace: 2, amountCharged: 24.0, carParksVisited: ['2'], arrivalTime: 540
Event: carExpectedStopCharging at time 15895.0 with data Car ID: 8, chargingVolume: 23, connectionTime: 51540 parkingPlace: 4, amountCharged: 0, carParksVisited: ['4'], arrivalTime: 2095
Event: carStopsCharging at time 15895.0 with data Car ID: 8, chargingVolume: 23, connectionTime: 51540 parkingPlace: 4, amountCharged: 23.0, carParksVisited: ['4'], arrivalTime: 2095
Event: carExpectedStopCharging at time 16620.0 with data Car ID: 10, chargingVolume: 22, connectionTime: 74882 parkingPlace: 4, amountCharged: 0, carParksVisited: ['4'], arrivalTime: 3420
Event: carStopsCharging at time 16620.0 with data Car ID: 10, chargingVolume: 22, connectionTime: 74882 parkingPlace: 4, amountCharged: 22.0, carParksVisited: ['4'], arrivalTime: 3420
Event: solarUpdate at time 18000 with data 10.09529682347624
Event: carExpectedStopCharging at time 20227.0 with data Car ID: 20, chargingVolume: 17, connectionTime: 60208 parkingPlace: 1, amountCharged: 0, carParksVisited: ['1'], arrivalTime: 10027
Event: carStopsCharging at time 20227.0 with data Car ID: 20, chargingVolume: 17, connectionTime: 60208 parkingPlace: 1, amountCharged: 17.0, carParksVisited: ['1'], arrivalTime: 10027
Event: solarUpdate at time 21600 with data 34.010201146286576
Event: carExpectedStopCharging at time 22138.0 with data Car ID: 11, chargingVolume: 29, connectionTime: 49432 parkingPlace: 4, amountCharged: 0, carParksVisited: ['4'], arrivalTime: 4738
